,rab.all,rab.win.CON,rab.win.MIX,diff.btw,diff.win,effect,overlap,we.ep,we.eBH,wi.ep,wi.eBH
OTU-11543,8.407515411,8.407515411,8.385658124,0.072424654,1.563421549,0.039136162,0.474227033,0.822370561,0.957643016,0.952211476,0.993153659
OTU-13325,8.436485782,8.779442772,7.625795275,-0.547928883,2.756560069,-0.273164304,0.422681114,0.61858412,0.925739702,0.64836755,0.947961926
OTU-05240,6.929127596,7.949042712,6.868587424,-0.126232147,1.812672593,-0.158657178,0.474227033,0.5804477,0.923672233,0.775356756,0.964312924
OTU-12999,6.969895098,7.21799467,6.127018461,-0.560219566,2.909506092,-0.189487139,0.416667442,0.422064654,0.900629575,0.469242806,0.932385326
OTU-13120,2.09440549,2.06872792,2.112355089,0.125133875,1.709098384,0.074361417,0.458333713,0.904150023,0.972526195,0.77353752,0.96467121
OTU-04332,1.277688595,1.083815675,1.341462197,0.466050521,3.043934688,0.113580551,0.453608662,0.739502139,0.944193494,0.725103461,0.958686502
OTU-05257,6.495785937,6.309757447,6.533703644,0.286199906,2.16767098,0.105642407,0.443299478,0.396487564,0.901073621,0.559086273,0.942356062
OTU-01753,2.575990153,3.274422781,1.651480179,-2.180947729,3.36864125,-0.494874112,0.288662073,0.031534796,0.525231099,0.07822057,0.561644915
OTU-04333,-0.953612971,-1.401808316,-0.949868857,0.52508744,3.83861642,0.081251739,0.463917847,0.595456698,0.927685215,0.888290561,0.985426615
OTU-13353,4.971862308,4.934642578,5.00119861,0.245984149,2.976553877,0.076138694,0.447917143,0.346690842,0.893147108,0.741811678,0.957723134
OTU-09149,6.423438104,6.310246927,7.019801254,0.796351822,2.940188268,0.243012426,0.38541776,0.235739036,0.834579561,0.317107075,0.848942691
OTU-01770,6.31202431,6.460824325,6.1155135,-0.378701243,3.807862501,-0.117530573,0.432990295,0.506477265,0.914849475,0.518966546,0.937748411
OTU-10110,2.355157807,2.647108189,1.862157721,-0.236461784,3.833970408,-0.052329376,0.463917847,0.814444493,0.956028103,0.871805427,0.976560852
OTU-04662,0.04196613,0.7206949,-0.264596461,-0.098239118,2.454108868,-0.02799129,0.48453622,0.695413494,0.939538785,0.854795591,0.980835684
OTU-13170,5.332570711,5.216700598,5.46235851,0.187794828,2.11027735,0.080750151,0.458333713,0.86774624,0.960224719,0.840695859,0.970829465
OTU-05234,4.018538114,4.90657401,3.289113501,-1.879721484,2.555312795,-0.773764672,0.177088342,0.006821684,0.484320359,0.004141958,0.324867248
OTU-04740,1.695165638,2.093307781,0.899607083,-0.171237095,2.440048335,-0.075550863,0.474227033,0.540209924,0.918737778,0.607843492,0.94168087
OTU-05246,6.353227639,6.767797591,5.671745412,-1.187949274,1.747612666,-0.60421878,0.247425684,0.03835164,0.535317118,0.031970742,0.435300788
OTU-04866,6.308565086,6.369741676,5.973330196,-0.061891444,1.405549828,-0.040533451,0.474227033,0.632948177,0.92465639,0.767930132,0.969313606
OTU-05189,5.676419497,5.117891932,5.840114638,-0.085514401,1.961868394,-0.056743917,0.479166855,0.688616309,0.933108187,0.821409896,0.973112473
OTU-04912,5.715786972,5.716450811,5.715786972,-0.00166432,1.846008769,-0.000677228,0.5,0.658805963,0.934912805,0.842750243,0.976857704
OTU-10133,4.456315234,3.404094565,5.206255989,1.748078441,3.844662466,0.470818754,0.354168108,0.19705684,0.819889057,0.22805526,0.783260752
OTU-04057,5.606150868,4.546656917,6.141030529,1.401615808,1.907521711,0.712855852,0.257734763,0.023354702,0.514530188,0.034737687,0.431494739
OTU-09862,5.63725855,6.234363468,4.252476067,-1.617391105,3.526740818,-0.332696497,0.309280327,0.101842303,0.682680776,0.182396837,0.74273676
OTU-13329,5.547564542,5.286903807,5.72729923,0.297133983,1.767272195,0.137679185,0.422681114,0.691632912,0.937671098,0.621268337,0.947769114
OTU-10232,3.049736669,3.273013773,2.209174812,-0.923840063,2.819422259,-0.309273471,0.333335029,0.709857263,0.934910802,0.323907256,0.850423086
OTU-12966,5.152192186,5.345414499,4.487466126,-1.40341798,4.541704489,-0.269917752,0.371135243,0.487253422,0.908632103,0.293437675,0.833187418
OTU-04588,-1.303157148,-2.1217112,-1.032884259,0.563837152,3.144215217,0.152890253,0.412371935,0.57448028,0.925107067,0.532728557,0.938660956
OTU-12008,-1.693665222,0.181368855,-2.209671696,-2.037662222,2.954381806,-0.612259873,0.250003014,0.172746392,0.750866497,0.054043572,0.480005362
OTU-10090,-0.116588546,0.016460955,-1.115148124,-1.077610608,4.760509541,-0.138294707,0.412371935,0.87454414,0.966504128,0.395750051,0.888148593
OTU-04226,3.479888291,3.85776112,2.07394447,-1.526851239,2.660562735,-0.459818688,0.288662073,0.113848907,0.712091991,0.111627343,0.637446332
OTU-05236,3.878619099,3.696269353,4.178493352,-0.10827791,1.668028492,-0.063935263,0.468750284,0.813098788,0.955520456,0.930089046,0.98995348
OTU-04850,-2.47857745,-2.22212492,-2.769517048,-0.802205265,3.778466865,-0.246205735,0.422681114,0.340971252,0.84601002,0.392810363,0.87729485
OTU-04804,3.279827264,2.933416735,3.516483166,0.319160438,2.326626727,0.154431555,0.391753583,0.923711021,0.973559302,0.43710533,0.91132812
OTU-05237,5.9462086,5.822561397,6.268983424,0.515882728,1.647790586,0.326693634,0.364584655,0.310533812,0.874942287,0.221733833,0.76984432
OTU-04922,0.073796266,-0.011797412,0.169404329,0.256977396,1.832604392,0.141059895,0.458333713,0.310379591,0.866848414,0.699753222,0.957921222
OTU-12103,2.353202116,3.522165238,1.443126243,-1.655793178,5.293259508,-0.244282225,0.350516918,0.203949274,0.816617599,0.181798036,0.749145139
OTU-13115,5.472878063,5.263149972,5.635123446,0.57364919,1.635787208,0.265925242,0.38541776,0.252461019,0.846466917,0.240223567,0.784471571
OTU-08835,1.643416034,2.132933995,1.034433748,-0.783621764,4.489305035,-0.097004752,0.463917847,0.883146631,0.968399792,0.917127423,0.987925201
OTU-04812,3.597477895,3.775375427,3.365944942,-0.269521922,1.429547371,-0.17330983,0.427084007,0.542747817,0.916368167,0.631716698,0.950578297
OTU-05693,2.611072228,3.001660524,2.302387006,-0.371798946,2.397588042,-0.167461194,0.395834318,0.737096853,0.940503993,0.532377154,0.938593166
OTU-04688,-1.699337015,-1.555790245,-1.873377868,-0.365573611,2.820332393,-0.08742977,0.447917143,0.642438445,0.931776451,0.600619611,0.940937656
OTU-05259,2.831143777,2.522226242,3.144983949,0.223803866,2.012892691,0.09068344,0.422681114,0.493272264,0.906480914,0.438267846,0.903978561
OTU-10111,1.80403501,2.332626339,1.178322874,-1.095593752,4.307823853,-0.239565303,0.416667442,0.619375945,0.925997013,0.521387912,0.935398335
OTU-13234,2.428088079,1.970660534,3.062769136,1.59369004,3.001736332,0.520731449,0.268043855,0.065709145,0.623360033,0.067124132,0.535267117
OTU-13358,0.406578551,-0.693016488,1.489580076,2.179446737,5.901904352,0.357867002,0.319589466,0.085985844,0.660342315,0.162858763,0.727172587
OTU-05191,4.830911274,4.783135008,4.876975504,0.215552586,2.04440945,0.111841988,0.458333713,0.808039151,0.955151205,0.839538936,0.964714908
OTU-05180,3.150406317,2.784620911,3.699819623,1.468644648,2.922503678,0.451380678,0.257734763,0.035663631,0.53002809,0.032928111,0.435538891
OTU-12798,1.202708153,1.202708153,1.28220892,-0.005921307,2.525752434,-0.006544994,0.5,0.899089763,0.972141321,0.894006762,0.97759998
OTU-20781,-3.175889367,-3.152900794,-3.281242255,-0.267688236,2.963732015,-0.069884956,0.458333713,0.623518331,0.921672518,0.749677903,0.962711606
OTU-12725,2.705630805,2.338941454,3.033700316,0.674443356,2.678706739,0.24357955,0.329898611,0.476187675,0.905825224,0.236653414,0.784909111
OTU-04653,1.107964487,1.116492737,1.043802497,-0.301769964,1.714119502,-0.156666238,0.416667442,0.395574387,0.893129896,0.546644406,0.931370455
OTU-04777,-0.757844449,-0.457272794,-0.808552262,-0.078105609,2.23523856,-0.026019375,0.489583428,0.867685412,0.965463716,0.838238946,0.978391804
OTU-05704,1.674700821,1.575669662,1.783832944,0.127021723,2.157850195,0.04922703,0.474227033,0.879964305,0.969583786,0.917225097,0.980212565
OTU-04061,-0.149120194,0.276328863,-0.277028664,-0.847995829,2.554711844,-0.298268173,0.343751566,0.203397566,0.801924894,0.235708896,0.785735334
OTU-05584,-2.124058625,-2.13717614,-2.083961345,-0.102209768,2.430507574,-0.021563568,0.479166855,0.633243926,0.930420854,0.786317154,0.965404573
OTU-12963,1.03881926,1.31118738,0.428091501,-0.317053345,2.07449284,-0.10498277,0.427084007,0.858587775,0.963264721,0.668088999,0.95307426
OTU-05210,3.947835371,4.153189254,3.288785804,-0.766115873,1.832745543,-0.326457801,0.354168108,0.203084801,0.828431816,0.280558241,0.828422019
OTU-13245,-0.32023825,0.775295086,-0.609426971,-0.698569656,2.900722279,-0.258244132,0.38541776,0.32217428,0.874715248,0.345621517,0.862721459
OTU-04090,-0.25050998,-0.547478379,0.198443991,0.598852378,2.244058274,0.240343879,0.360826078,0.378864957,0.883577973,0.225901954,0.780354286
OTU-05263,3.343183348,3.376133021,3.185770636,-0.33871494,1.343752049,-0.238866288,0.416667442,0.387944888,0.893017505,0.483193924,0.931551063
OTU-04055,4.167681714,2.892704835,4.899823316,1.495012577,1.983065103,0.66066743,0.208337331,0.01501142,0.508512034,0.02186551,0.41538581
OTU-05211,2.840388667,2.647799879,3.345729041,0.627614079,2.635055009,0.269863813,0.381444412,0.204851583,0.821668323,0.145700405,0.702527114
OTU-05579,-1.048114888,-2.583634273,0.138711218,2.200859478,3.328008281,0.639191163,0.250003014,0.140267087,0.7003844,0.065084818,0.524054808
OTU-05266,2.034402705,2.051731649,1.999625383,-0.122972661,1.325716467,-0.074294194,0.458333713,0.40764173,0.89533102,0.58973812,0.942559091
OTU-04966,-0.956712209,-1.040162214,-0.956712209,-0.298926567,3.538845058,-0.081959928,0.447917143,0.535056509,0.924580541,0.616361815,0.950114473
OTU-13135,4.542783298,4.004704782,4.779061059,0.971902509,5.030324464,0.179535128,0.375001206,0.698696496,0.936629889,0.359018627,0.887168451
OTU-05238,2.159750158,2.056276585,2.159750158,-0.014058807,1.435728263,-0.007593524,0.494845406,0.788208049,0.955859057,0.9257051,0.989930371
OTU-09009,-0.54466417,0.65496029,-1.528837922,-2.255733187,3.982228132,-0.491481613,0.239586564,0.053895694,0.573771472,0.064270793,0.512818769
OTU-05251,4.570390977,4.651947036,4.296184715,-0.523566019,1.564292685,-0.279349744,0.38541776,0.357578596,0.888054148,0.300864438,0.840083288
OTU-14207,-0.292738634,1.144468493,-2.149702297,-2.063706772,4.681929031,-0.439871038,0.298971196,0.15771298,0.74289595,0.114656708,0.642571033
OTU-04779,-2.473769766,-2.383112426,-2.61013387,-0.712592655,2.566054478,-0.229197769,0.38541776,0.255554363,0.830311928,0.533395633,0.907435632
OTU-11957,-1.761955582,-2.453477458,-0.552999563,2.049518946,4.092684301,0.395061064,0.250003014,0.174780541,0.738506293,0.075240158,0.553035188
OTU-12806,0.157861175,0.237123738,-0.036522053,0.732484203,3.691415854,0.177883862,0.432990295,0.761765731,0.945052624,0.674601844,0.955359376
OTU-13483,-0.328827161,-0.77915704,0.500423145,1.136845456,1.635477564,0.713092655,0.216498546,0.0632212,0.583058435,0.02271314,0.40681211
OTU-04674,1.187891903,1.121245018,1.348400341,0.02063043,1.853364647,0.022851187,0.494845406,0.802708788,0.95367636,0.893327114,0.986408588
OTU-05587,0.267216058,0.216455846,0.36219754,0.037715865,1.963279436,0.013450499,0.489583428,0.873763449,0.967884451,0.890660293,0.979417976
OTU-13065,0.42932849,0.95186243,0.124164077,-0.426378405,2.66396698,-0.168284586,0.395834318,0.406464282,0.891457096,0.374233818,0.875685428
OTU-05575,-2.233870226,-1.681124046,-2.418920383,-0.36837576,2.511844302,-0.113087449,0.412371935,0.437607396,0.881766029,0.465321435,0.906778456
