,GC.RM.8672.BT5011.1_quant,GC.RM.8672.BT5011.10_quant,GC.RM.8672.BT5011.11_quant,GC.RM.8672.BT5011.12_quant,GC.RM.8672.BT5011.141_quant,GC.RM.8672.BT5011.142_quant,GC.RM.8672.BT5011.143_quant,GC.RM.8672.BT5011.144_quant,GC.RM.8672.BT5011.145_quant,GC.RM.8672.BT5011.146_quant,GC.RM.8672.BT5011.147_quant,GC.RM.8672.BT5011.148_quant,GC.RM.8672.BT5011.149_quant,GC.RM.8672.BT5011.150_quant,GC.RM.8672.BT5011.151_quant,GC.RM.8672.BT5011.152_quant,GC.RM.8672.BT5011.2_quant,GC.RM.8672.BT5011.3_quant,GC.RM.8672.BT5011.4_quant,GC.RM.8672.BT5011.5_quant,GC.RM.8672.BT5011.6_quant,GC.RM.8672.BT5011.7_quant,GC.RM.8672.BT5011.8_quant,GC.RM.8672.BT5011.9_quant
ENSRNOG00000000001,0.167407,0,0,0,0,0,0,0.072449,0,0,0,0.210077,0,0.117912,0.145237,0,0,0.074575,0,0.380362,0,0,0,0
ENSRNOG00000000007,0.034982,0,0.029053,0,0.087562,0.077276,0.207502,0.121226,0.025729,0.052159,0.071323,0.029407,0.076428,0.016262,0.151723,0.033039,0.130413,0,0,0.159824,0,0.072413,0.053554,0
ENSRNOG00000000008,0,0,0,0,0,0,0.167093,0,0,0.048855,0,0.055108,0,0,0,0,0,0.057804,0,0,0.039243,0.045565,0,0.055086
ENSRNOG00000000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000000010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117892,0,0,0,0,0,0,0,0,0
ENSRNOG00000000012,0,0,0.322634,0,0.106235,0,0,0,0,0,0,0.321181,0.095185,0,0.780705,0,0.170615,0,0,0,0,0.089851,0,0.107889
ENSRNOG00000000017,0,0,0.31466,0.291989,0.078189,0.415083,0,0.326334,0.070253,0,0.484317,0,0.34693,0.310562,0.081794,0,0,0,0,0,0,0.196763,0,0
ENSRNOG00000000021,3.055299,2.319734,1.870663,1.34056,0.506401,0.448203,0,2.467334,2.992698,1.1305,2.82807,2.89168,3.602728,2.640145,2.385742,1.819978,0.729343,1.011903,0.208408,0,0.54552,2.411512,2.385471,2.562398
ENSRNOG00000000024,113.954574,109.477585,125.308255,128.873355,94.575132,71.897248,19.511371,104.600267,98.831036,83.828347,109.657061,93.335331,102.229176,105.442062,91.899488,104.183333,108.396112,113.530477,84.736617,66.89061,83.547295,98.851241,123.912485,118.135717
ENSRNOG00000000033,1.225905,1.181417,1.502239,0.610202,0.877224,0.494492,1.212034,1.188621,0.5789,0.56613,1.575815,2.037674,1.720001,0.677609,1.265911,0.937613,0.57805,0.84934,0.705187,1.174263,0.733665,1.147049,1.315933,1.807378
ENSRNOG00000000034,5.585076,5.282268,4.576376,9.296112,4.088031,3.832068,1.674077,4.180042,5.089241,3.511111,3.75845,4.661605,4.457088,5.42548,4.449213,6.242525,3.406353,3.436118,3.1424,3.435796,4.40821,5.638689,3.696679,5.628771
ENSRNOG00000000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000000036,1.321496,0.632903,0.731603,0.498491,0.763412,0.848369,0.200994,1.732018,0.872064,1.136902,1.899565,1.538305,1.381614,1.086604,0.969945,1.088154,0.462829,1.978707,0.45528,1.021866,0.40543,0.935067,1.529768,1.077601
ENSRNOG00000000040,0.129221,0.178023,0.118652,0.073438,0.064749,0.231642,0.072681,0.148621,0.868194,0.021328,0.145594,0.296874,0.124775,0.092903,0.173583,0.162065,0.053056,0.220108,0.134283,0.156845,0.102659,0.200276,0.197292,0.194611
ENSRNOG00000000041,66.095737,62.951091,49.605348,35.985292,24.691065,23.12793,11.354574,61.054322,39.961691,39.053807,56.684479,56.568312,69.282279,33.091863,39.510003,38.250639,33.395683,39.050434,37.20857,19.289547,34.811495,56.101867,39.955625,48.236168
ENSRNOG00000000042,6.224451,3.652271,2.895582,1.328171,0.451489,0.232534,0.127361,2.228685,3.237663,0.845042,2.663162,3.010275,3.095706,2.196207,2.289886,2.44947,0.963544,1.133432,0.547238,0.182844,0.053965,4.272824,1.777594,2.354016
ENSRNOG00000000043,3.029828,3.762832,1.560325,1.453834,5.549974,2.481243,0.686984,6.616665,5.753423,3.94155,2.743426,4.15803,5.726002,3.079625,5.774687,9.587593,1.705875,4.647053,1.350065,1.051909,1.8369,3.448692,0.752976,3.357989
ENSRNOG00000000044,2.468933,1.433959,1.436946,2.599867,1.604411,1.70746,0.543848,1.753453,2.513873,2.205229,1.966894,2.652783,1.658396,2.371282,1.627708,1.770578,1.115455,2.272964,1.56453,0.450475,2.153939,2.594566,2.201499,2.770107
ENSRNOG00000000047,48.141386,40.933995,47.222362,55.521732,32.272865,46.443919,31.253001,46.170342,46.896299,33.054929,44.798707,37.602199,40.691461,57.868582,44.174508,45.447353,42.585911,46.839717,33.066693,28.313707,32.168201,48.13919,35.352745,49.005393
ENSRNOG00000000048,18.463806,15.025258,10.603597,9.210284,7.34216,6.458998,3.2187,12.460059,13.109079,8.68284,11.014348,13.467699,14.461569,10.446778,9.178323,11.332493,5.74449,7.371991,5.60393,2.928246,6.020615,16.604075,9.549331,12.549869
ENSRNOG00000000053,10830.3296,10345.16478,7785.881466,8825.228115,4742.766184,6087.947083,266.940915,8086.332607,9460.443876,6307.159911,8105.276956,8656.637725,8778.681397,10215.16641,7223.084484,8521.973236,5838.891444,5674.122059,3563.509913,1705.335605,2975.445069,10184.03288,6047.220032,9404.884172
ENSRNOG00000000054,0.45273,0.704151,0.564952,0.701087,0.471133,1.248537,1.05469,1.029152,0.920059,0.841774,0.462839,1.708932,0.827421,1.559029,1.178213,1.067522,0.999267,1.037644,0.343904,0.876966,1.2167,1.25327,0.523125,0.900498
ENSRNOG00000000055,0,0,0,0,0,0,0,0,0,0,0,0,0.071271,0,0,0,0,0,0,0,0,0.067362,0,0
ENSRNOG00000000060,0,0,0,0,0.043653,0,0,0.272354,0.038697,0,0,0.087967,0.076576,0.048904,0,0,0.065915,0,0,0,0,0,0,0
ENSRNOG00000000062,2.786188,2.122469,1.707755,0.761407,1.156812,0.481408,1.179744,2.198848,2.131445,0.546983,1.597102,2.1256,2.106253,0.500045,1.635154,1.389054,1.104641,0.802044,0.946009,0.22347,0.781528,1.821194,1.526454,1.511046
ENSRNOG00000000064,990.999848,1079.600382,1097.872362,1066.390012,1264.850185,1236.244847,546.211442,1123.76448,1255.453779,1451.634456,1146.929545,1212.077299,995.136729,1077.822828,1312.299164,1379.479603,845.267205,887.446863,1478.938723,1475.228916,1498.205222,863.446782,1391.713986,1098.102222
ENSRNOG00000000065,0,0,0,0,0.032956,0,0,0,0,0,0,0.066408,0,0,0,0.037312,0,0,0,0,0,0,0,0
ENSRNOG00000000066,7.37551,5.853516,4.577162,3.827445,2.932997,3.169617,0,4.346853,6.409094,3.667509,5.309518,5.516718,8.292157,4.747601,4.424581,6.429725,2.512113,4.038605,1.384243,1.141611,2.10516,6.91723,6.570203,6.378406
ENSRNOG00000000068,88.920578,73.232569,72.622696,66.058051,51.321129,52.020557,19.949811,82.279885,76.228017,64.182814,81.602078,85.455685,95.716352,92.593987,84.641384,78.255586,51.239009,69.102022,39.891519,26.609372,43.65095,84.039628,68.147444,72.270971
ENSRNOG00000000070,9.743843,6.594114,3.423255,5.343954,0.311262,0.227542,2.546342,7.058484,5.057529,0.708479,7.46076,8.48251,10.526887,5.43436,4.170362,5.036033,3.109245,0.953475,0,0,0.699471,9.544471,5.907474,4.580756
ENSRNOG00000000073,47.943773,36.851602,24.164411,19.163953,4.319387,5.692355,0.239321,26.411915,39.299085,16.256091,29.976178,34.589148,32.017239,19.088795,17.303562,30.652212,11.086008,12.11814,7.787292,4.342521,6.7976,35.654821,21.119956,21.970194
ENSRNOG00000000075,1.947329,2.020072,1.366576,1.239742,2.020204,1.974631,1.319955,2.324021,2.200132,1.901672,2.031478,2.289874,2.619541,1.954604,1.876903,1.797365,0.946414,1.197332,1.747968,1.224657,2.121359,2.122414,2.158294,1.593967
ENSRNOG00000000081,23.214085,18.142764,10.444234,6.841489,2.535073,1.002849,0.544202,9.52554,15.037407,3.932555,10.791434,13.713288,18.929713,11.420484,8.292736,11.952799,2.472119,5.282397,0.981483,0.511206,1.819634,17.624531,8.910892,11.713978
ENSRNOG00000000082,2.553422,2.67377,2.43078,1.728966,2.318791,2.504584,3.161532,3.362016,3.741176,3.215907,2.703845,3.359183,3.469025,3.317105,3.346303,2.58573,1.271068,1.895243,1.240644,1.78796,1.888009,3.614303,2.184229,2.027378
ENSRNOG00000000091,0.130337,0.057993,0,0.086501,0.124487,0.08234,0,0,0.068229,0.013906,0.132582,0.109741,0.202807,0.043132,0,0.088016,0,0,0.112198,0.068178,0.078065,0.051274,0.028368,0.062301
ENSRNOG00000000095,31.811302,28.455762,22.155859,21.303974,16.806365,15.369454,8.963827,25.378449,28.864836,21.828264,26.056369,27.578294,26.526461,25.824611,24.703424,27.4505,13.457925,16.217895,13.577613,9.638416,12.670979,26.08183,16.538302,25.949509
ENSRNOG00000000096,50.676682,44.429714,31.466057,37.5574,24.874668,21.343518,5.680578,45.880783,51.009047,24.261131,45.510313,39.966929,50.169085,50.29329,34.552159,49.681964,26.277466,36.729584,24.345169,10.655437,16.889006,52.512304,38.25159,29.666322
ENSRNOG00000000097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21448,0,0,0,0,0,0,0,0,0
ENSRNOG00000000098,17.439334,14.801508,15.129569,12.547483,9.875577,9.235656,4.364031,17.380162,15.296696,13.932507,13.763942,15.39826,16.623936,15.199374,14.802441,14.679843,8.543987,7.059375,6.010581,5.871562,6.731242,14.996756,13.917978,14.469145
ENSRNOG00000000104,11.893977,9.691202,10.731153,11.018361,7.384888,8.00668,2.699005,13.473705,11.44912,9.837002,11.665622,12.965675,14.15957,12.313333,10.317774,11.020309,7.248762,8.554887,6.770928,2.082094,6.565948,12.083998,11.645328,12.227696
ENSRNOG00000000105,0.930949,0.457362,0.162949,0.113814,0.285758,0.755234,0,0.721432,1.152665,0.109415,0.943658,1.067514,0.894281,0.319796,0.127511,0.277412,0.307375,0.382887,0.200744,0.223508,0.345689,1.253323,0.460799,0.943577
ENSRNOG00000000108,28.833143,41.554142,36.115055,34.933461,34.116684,24.721484,9.044119,37.509872,33.690591,38.06153,36.810213,38.27617,43.278012,34.037583,27.085926,32.382858,19.743251,26.456418,22.365553,25.770407,21.601763,39.231833,36.784689,36.796442
ENSRNOG00000000109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000000111,8.720328,8.977439,7.147615,3.602548,9.462953,4.853743,0,5.762642,6.791441,7.167406,9.506238,7.383861,8.43066,9.690597,9.594654,6.217294,12.60169,9.439587,7.047112,8.273235,5.461533,8.320339,10.589891,6.867154
ENSRNOG00000000112,5.27216,4.662438,4.866874,2.582595,3.639089,3.566861,2.530345,5.453877,4.581792,4.6365,5.422102,5.136764,5.066353,3.230455,3.757891,5.130443,2.532842,3.746256,3.518362,2.607681,3.330161,4.264057,3.368676,3.961172
ENSRNOG00000000113,2.243432,2.000164,1.170184,1.129248,1.965789,1.297752,1.207013,2.69979,1.960705,1.678307,1.548193,2.682963,2.914879,2.488044,2.322164,2.373862,1.060771,1.161329,2.071967,0.228746,0.874372,2.28646,1.341582,1.585293
ENSRNOG00000000121,1.697036,2.588296,1.245044,1.661818,1.580098,1.799319,0.422867,3.069284,3.830465,1.493309,1.376523,2.473465,3.680999,1.954997,1.905106,2.562639,0.852176,1.908149,1.346079,1.548093,1.580671,2.225426,2.869757,2.006056
ENSRNOG00000000122,227.295759,171.956903,143.015613,165.814336,153.531027,138.091667,61.275434,194.185754,171.811287,181.311459,197.599244,190.088672,224.396731,181.083801,172.350636,229.79618,131.558575,148.088673,117.437359,68.716343,118.738793,160.222083,151.252753,146.461771
ENSRNOG00000000123,3.195708,2.930432,2.540913,1.936487,1.659713,1.43139,0.196201,2.687752,3.449071,2.517395,3.309921,3.538941,4.799114,2.675913,3.897078,3.147207,0.783025,2.904644,1.060832,1.648398,0.608995,2.912642,2.276445,3.373482
ENSRNOG00000000124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000000127,10.324696,5.086756,3.649695,2.788291,1.466062,1.64585,0.173848,5.490537,5.650942,2.262948,4.361073,5.179248,7.039028,4.248509,3.538738,5.342448,1.432527,1.766905,1.313575,0.479646,1.378332,7.316127,3.389804,4.747899
ENSRNOG00000000129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04167,0,0
ENSRNOG00000000130,6.541072,3.947484,4.051122,4.538243,5.250523,4.603329,1.260046,6.592455,5.816324,5.733599,4.955157,10.193023,7.067635,6.75923,6.252809,6.958227,3.909685,4.388578,2.473774,2.715142,3.948347,5.788167,3.255982,5.038853
ENSRNOG00000000133,43.524096,43.183641,47.051137,38.352737,39.039898,31.574132,11.547555,37.543281,48.092769,44.35862,47.380248,46.624911,40.808297,42.407323,40.566031,50.070022,28.186816,31.959615,36.264038,32.158546,35.553132,40.31166,50.985359,39.185631
ENSRNOG00000000137,3.201755,2.60349,1.911315,5.75505,1.892886,3.687732,2.032685,3.264212,4.108391,4.225221,4.358609,4.101138,4.560964,4.160902,5.556011,5.373342,2.328626,6.361144,4.927883,8.907248,6.255199,2.792122,3.943051,5.276612
ENSRNOG00000000138,0,0.135884,0,0,0,0.116442,0,0,0.077924,0.117783,0.067087,0.054931,0,0.123095,0,0.123571,0,0,0,0,0,0,0,0.109815
ENSRNOG00000000142,0.280663,0.499162,0.499681,0.093135,0.133742,0.059029,0.101919,0.243127,0.118091,0.388365,0.122703,1.381184,0.321481,0.205237,0.06956,0.264989,0.174995,0.311287,0.269734,0.476003,0.239754,0.442957,0.522517,0.100685
ENSRNOG00000000145,0.826295,0.514096,0.137466,0.298569,0.091735,0,0,0.572465,0.203476,0.122929,0,0.323504,0.201301,0.179995,0.095573,0.31177,0,0.096089,0.074366,0,0,0.495499,0,0.092264
ENSRNOG00000000150,26.646732,22.442081,22.733827,21.246063,15.983625,18.20159,12.448227,22.862601,20.522831,16.998064,26.883269,21.626609,24.313406,24.536507,18.35532,21.446236,21.329644,21.578949,16.897351,12.166915,15.180483,21.703787,20.177087,21.706556
ENSRNOG00000000151,7.21278,5.703224,4.264308,3.175741,1.867843,1.759455,0,7.45892,5.857587,3.438788,3.948082,4.588356,7.978066,6.990263,4.29521,5.573129,1.70554,3.029535,1.265435,0.255442,1.174894,7.428088,1.787933,4.987828
ENSRNOG00000000155,4.720936,2.269845,1.371029,1.010426,0.576224,0.678149,0,2.560211,3.361838,1.115527,1.918079,2.806057,3.356199,2.642454,2.030912,1.993308,0.597577,0.59523,0.387165,0.771272,0.436127,4.504257,2.058575,2.152443
ENSRNOG00000000156,0.134784,0.16967,0.130465,0.052181,0.068282,0.075279,0,0.407189,0.224672,0.198316,0.124718,0.240775,0.32647,0.113621,0.496168,0.038624,0.17596,0.260618,0.013684,0.056093,0.207988,0.061893,0.280279,0.136722
ENSRNOG00000000157,18.77466,19.431633,15.673566,12.873728,12.177655,10.624422,5.642272,20.282023,20.607001,16.128467,20.211627,19.667304,21.55636,17.303706,20.236488,19.304691,8.830399,11.735912,11.221416,9.334876,9.708819,17.03448,18.063501,14.925693
ENSRNOG00000000158,680.943434,848.925877,879.162211,539.402606,930.412542,465.695195,135.234092,782.437781,713.451173,862.062717,811.813694,1059.725616,771.486215,693.327044,865.463322,649.225771,458.291974,523.699032,779.288453,555.93313,566.808201,745.094603,646.872533,853.516497
ENSRNOG00000000161,3.973761,2.996256,1.907335,1.298039,0.570077,0.823134,0,1.963529,2.235768,1.505051,1.992784,2.55851,2.982254,1.932253,1.723454,2.580841,0.634837,0.824768,0.479394,0,0.538728,3.42549,1.020636,2.104318
ENSRNOG00000000164,363.433426,322.880709,309.464528,279.519028,374.643592,354.274257,449.144755,315.869413,412.420007,389.816317,304.019999,322.603457,360.591664,313.09371,288.358827,362.983986,261.538559,275.494923,370.877112,373.349821,342.592945,313.397411,294.030257,296.471713
ENSRNOG00000000165,4.305663,11.911095,7.707266,1.932656,2.326867,2.798373,0,7.996798,4.795107,3.739823,6.575855,4.753852,4.93187,3.83648,6.562591,3.883079,3.283646,2.347996,2.467391,3.016611,2.89755,6.760413,6.820113,9.722158
ENSRNOG00000000166,3.334799,2.945064,1.439106,1.4345,2.569295,2.497122,0.8893,2.727187,3.152557,1.836133,1.768972,2.278142,2.620903,2.136115,1.982206,1.863308,1.719728,2.706342,2.755293,1.012709,2.543819,2.523392,1.143473,2.431217
ENSRNOG00000000167,1.970128,1.429542,1.9682,1.169512,1.474799,0.386158,1.668765,0.625464,0.729419,2.195664,3.024805,2.09142,4.183524,2.08906,3.418227,1.733343,1.917105,1.269967,1.332978,3.946983,0.235156,1.956745,2.384038,1.870488
ENSRNOG00000000168,8.034338,4.121883,4.499775,4.631862,2.657164,2.313782,0.850918,5.900315,5.083929,4.553008,5.080273,6.564669,5.223079,6.872966,5.83309,6.265016,1.610228,4.34302,3.998199,2.07273,3.054069,5.520163,3.920474,5.300362
ENSRNOG00000000169,2.033957,0.917335,0.955461,1.027089,1.326861,1.008764,0.824197,1.493697,0.782092,1.185491,1.128251,1.633957,1.870704,1.50332,0.690404,1.126884,0.331767,1.07122,0.089321,0.524696,0.660795,1.221928,1.153862,0.740332
ENSRNOG00000000170,8.327839,7.046194,6.228344,4.198083,5.345716,4.053421,2.677851,6.354925,6.504726,5.825954,6.48815,7.290423,8.172831,5.639331,5.937769,5.051885,3.1297,3.431164,4.74102,3.713133,3.94806,6.445624,4.78524,5.628623
ENSRNOG00000000172,62.844563,87.820472,65.178581,39.221839,43.132938,32.497879,10.323805,54.531983,85.100377,42.970133,57.432546,66.9345,109.760681,43.704151,49.390794,71.66193,38.690295,32.570145,26.068521,17.13487,26.470217,69.741756,72.546135,73.330701
ENSRNOG00000000175,0.701973,1.02463,0.392565,0.332514,1.795414,1.161328,0,1.628722,2.101768,1.105394,1.270481,1.370721,1.534549,1.171712,1.179451,1.742498,0.661834,1.946179,0.586714,0.862524,0.961908,1.318741,0.230639,0.543478
ENSRNOG00000000177,3.82448,3.73919,3.786641,2.849513,5.398217,1.855681,1.711268,5.310046,5.243936,3.4824,5.618168,3.324039,6.665295,3.312647,3.943872,3.739709,2.760144,3.760466,2.835861,4.399545,5.552686,5.505201,5.696058,3.083597
ENSRNOG00000000184,193.597199,168.815414,130.641595,87.741516,83.630039,81.483063,19.998265,132.928337,134.418493,94.942535,134.160919,140.106879,166.437244,133.391586,133.098683,129.714946,68.281943,83.772779,65.236351,46.307997,48.408729,167.308143,121.554315,162.884398
ENSRNOG00000000185,73.19895,88.231729,84.595919,96.37483,84.161055,92.406437,78.759991,89.676678,83.233679,71.374385,93.49077,80.45894,84.251642,96.343224,93.046901,85.526255,108.998195,97.738003,76.949459,64.769708,83.565625,85.268499,93.926975,101.359508
ENSRNOG00000000186,335.770881,358.713141,362.898286,284.013727,236.746052,210.73483,82.573563,395.16937,352.763338,301.770003,379.038862,307.282345,354.349197,334.909556,343.500056,314.175012,291.49403,310.72581,250.820548,163.798265,244.291031,370.742917,349.042714,389.875613
ENSRNOG00000000187,0.940578,0.26926,0.37703,0.477148,0.351883,0.095543,0,0.618203,0.643727,0.50792,0.363577,0.572698,0.779106,0.256175,0.787744,0.428918,0.020117,0.417352,0.500994,0.118578,0.097029,0.827738,0.347306,0.787133
ENSRNOG00000000190,1.705511,0.663472,0.389752,0.297125,0.142188,0.188291,0,0.960273,0.753907,0.254081,0.348077,0.787932,0.746238,0.337479,0.443833,0.644004,0.239681,0.479043,0.229603,0.233562,0.509823,1.443103,0.03271,0.499705
ENSRNOG00000000195,4.41689,5.695035,5.560216,6.725009,16.126173,13.351856,8.462747,6.655978,6.607523,15.050066,10.463579,9.494193,8.089733,5.656217,7.51233,5.488603,7.074036,6.414795,7.744049,9.287516,12.013779,4.641414,7.198173,4.200212
ENSRNOG00000000196,0,0,0,0,0,0,0,0.033062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000000199,0,0,0,0,0.261023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000000201,1870.248037,1924.530973,1079.604504,1654.330637,1457.496644,1825.347639,351.098847,1946.323087,3095.421071,1255.32027,2054.602512,1149.334699,1312.302524,2261.598856,1892.733267,1613.561157,2023.749349,1541.796962,1143.430607,1008.941658,1204.863965,3424.527992,2896.53744,1982.906309
ENSRNOG00000000204,17.382195,12.037631,9.080417,8.296634,3.330876,3.104536,2.091888,12.425623,11.936401,7.175355,10.284306,13.009822,13.064344,11.978794,10.267869,11.945708,3.842103,5.068447,2.238927,1.805654,3.769721,14.468716,6.62591,12.632033
ENSRNOG00000000219,24.22254,20.993421,16.785424,17.069774,7.488009,6.475337,1.530365,14.682347,23.221466,8.690187,15.698484,17.228029,18.250152,17.415017,14.543735,15.12408,9.077291,10.715984,9.297883,4.099861,6.062265,24.069307,16.184103,17.565369
ENSRNOG00000000221,30.347958,26.91113,20.617421,17.498551,12.509547,14.447773,4.012413,22.499892,32.696282,15.001521,23.662866,21.528774,26.598502,25.451426,20.008052,20.157311,9.166144,10.95179,7.474126,8.390383,8.454239,26.462899,28.344218,25.129535
ENSRNOG00000000230,15.767558,14.19714,10.522476,13.104333,15.064429,13.299709,47.740624,13.235474,16.531613,14.140124,12.875842,12.876419,15.573181,11.727348,11.172902,15.696073,12.618373,11.686474,10.797707,12.195198,11.92719,14.261077,13.241888,13.558678
ENSRNOG00000000231,0.496647,0.441194,0.472732,0.439484,0.058981,0.104267,0,0.737095,0.631174,0.579521,0.363358,0.653734,0.572006,0.332272,0.307754,0.200577,0.18077,0.187833,0.336426,0.129144,0,0.295197,0.054887,0.594462
ENSRNOG00000000233,0,0,0,0,0,0,0,0.04168,0,0.017951,0,0,0,0,0,0,0,0,0,0,0,0.016569,0,0.020121
ENSRNOG00000000236,37.080081,33.606581,23.54841,26.576485,17.849987,13.217406,2.445941,26.138871,34.64898,17.895365,26.197881,27.88602,32.677417,27.109278,23.058113,31.613134,19.116436,25.728244,15.94084,9.084186,15.706145,34.016057,19.7694,31.447831
ENSRNOG00000000237,3.953339,2.046377,0.260626,1.047198,0.603384,0.457791,0,1.530202,2.097718,0.307881,0.642173,1.824085,2.454477,1.815154,0.812369,1.663224,0.067837,0.470642,0.212999,0,0.24763,2.75407,1.300487,0.959833
ENSRNOG00000000239,0,0.162204,0,0.364578,0,0.344263,0,0.542634,0,0.461776,0.325218,0.391093,0.116823,0,0.136197,0.147115,0.106365,0.295962,0,0,0.744188,0,0,0
ENSRNOG00000000244,1.267421,1.533947,0.772343,1.144908,0.810127,0.124381,0,1.280849,0.964798,0.786767,1.077726,1.596984,1.848384,0.668724,0.659654,1.316128,0.316564,0.839537,0.568703,0.462867,0.631462,1.167194,0.874989,0.848784
ENSRNOG00000000245,0.33244,0.326145,0.092859,0.475372,0.325286,0.554153,1.703501,0.621138,0.283788,0.249082,0.456429,0.322289,0.394601,0.07817,0.435755,0.484748,0.422143,0.194818,0.103954,0.093722,0.700027,0.386222,0.085969,0.186968
ENSRNOG00000000246,12.583153,9.820791,10.914528,7.788638,6.285461,7.26933,1.604077,11.061669,10.652239,7.995413,12.566175,12.197617,11.817277,9.994893,9.337363,11.391897,2.887057,5.815029,5.739548,3.153518,5.594588,14.807884,6.99374,9.071714
ENSRNOG00000000247,4.012316,3.495306,3.993283,2.286053,2.557368,2.842457,2.309313,3.803764,4.596524,3.300601,3.898772,3.976273,3.999078,3.239533,3.743101,5.468696,2.332909,6.030916,3.257843,1.590502,3.305183,3.631813,2.261841,3.611775
ENSRNOG00000000248,42.75074,40.479965,31.046555,40.740247,44.6359,40.05038,24.564849,65.236877,54.60778,45.075254,37.425127,38.506595,56.24368,45.928267,45.748251,60.386343,33.557454,42.70057,25.169971,20.268023,40.840391,40.900918,25.909578,43.519191
ENSRNOG00000000249,9.864371,10.948503,12.031918,13.478964,8.977439,7.217307,3.681964,13.043059,12.900865,11.004803,13.505296,11.460142,9.481545,11.591148,9.944407,11.430277,8.380676,10.297537,6.095578,5.89295,4.130684,10.672241,13.19583,8.893246
ENSRNOG00000000250,3.936241,4.572355,2.938503,4.886978,2.878218,4.189672,1.20715,7.579869,4.525008,4.73867,2.640433,4.549192,4.772487,4.256227,5.29878,4.925367,3.795914,6.214296,4.042766,3.769001,3.887621,3.904423,2.465337,3.354582
ENSRNOG00000000251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000000252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000000257,3.55342,2.02998,2.912969,3.109532,1.440569,2.091815,1.051405,2.368693,3.484382,1.20887,2.481838,2.531021,2.321734,3.323444,2.626251,2.981318,1.061154,1.037598,1.957862,1.866512,1.51096,3.677935,2.244009,2.867125
ENSRNOG00000000258,6.11658,4.846695,3.349215,3.215088,1.127534,1.270235,1.556417,3.401844,4.244683,2.605287,4.110251,4.569794,5.264487,4.228859,2.883186,2.906094,1.794279,2.58816,0.944901,0.681213,1.143261,4.380247,2.759266,4.229156
ENSRNOG00000000262,0.586173,1.337072,0.682818,0.998509,0.439111,0.60344,0,1.725836,1.083437,1.612674,0.659364,1.425642,1.543238,0.985743,0.559352,1.105603,0.259125,0.820116,0.435574,0.213685,1.365072,0.892722,0.542179,1.17827
ENSRNOG00000000264,13.87335,10.400899,8.439511,8.351877,7.321506,7.78943,4.790583,11.418197,9.795067,7.860778,9.510637,9.709092,13.537701,8.447825,10.860795,8.549692,6.334349,6.735234,5.220284,2.44035,6.82615,10.146504,5.760434,8.533997
ENSRNOG00000000274,0,0,0.091709,0,0,0,0,0.066836,0,0,0.079149,0,0,0.072412,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000000275,0.063335,0.196973,0,0,0.162974,0,0,0,0,0.141208,0,0.159277,0.092714,0.029615,0.219776,0,0,0,0,0.115382,0,0.043873,0,0.371378
ENSRNOG00000000277,0,0,0,0,0,0,0,0,0,0,0,0.058923,0.0127,0,0,0,0,0,0,0,0,0.011845,0,0.029265
ENSRNOG00000000279,2.255163,3.887325,1.510576,2.309418,0.78894,0.562403,0.893828,6.144684,1.231005,1.545434,2.039772,2.109482,8.213663,1.336155,1.54603,1.889261,1.673989,1.220413,0.366746,1.428938,1.066068,2.10861,1.225543,1.6135
ENSRNOG00000000281,53.24295,78.876619,57.92225,65.484722,48.284959,21.236476,7.301497,54.484058,56.50383,36.933768,53.606974,58.930646,43.936894,32.776484,55.681906,54.101649,50.001927,25.766101,42.147991,28.133545,40.75705,66.899039,50.967368,76.025293
ENSRNOG00000000282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000000283,3.999771,3.109472,3.385645,2.890518,2.605759,1.714863,1.806879,3.405369,3.061141,1.782867,3.412107,3.854563,4.003358,2.12105,3.932519,2.19927,2.243753,3.225248,2.977508,0.97119,1.591266,3.233959,2.884308,3.574212
ENSRNOG00000000288,0.685489,0.338737,0.975757,0.303295,0.354138,0.793289,0.746855,0.678738,0.839866,0.462491,0.731852,0.57637,0.736622,0.530835,0.453035,0.277503,0.263241,0.67216,0.131541,0.507187,0.937451,0.517864,0.599248,0.737566
