,GC.RM.8672.BT5011.1_quant,GC.RM.8672.BT5011.10_quant,GC.RM.8672.BT5011.11_quant,GC.RM.8672.BT5011.12_quant,GC.RM.8672.BT5011.141_quant,GC.RM.8672.BT5011.142_quant,GC.RM.8672.BT5011.143_quant,GC.RM.8672.BT5011.144_quant,GC.RM.8672.BT5011.145_quant,GC.RM.8672.BT5011.146_quant,GC.RM.8672.BT5011.147_quant,GC.RM.8672.BT5011.148_quant,GC.RM.8672.BT5011.149_quant,GC.RM.8672.BT5011.150_quant,GC.RM.8672.BT5011.151_quant,GC.RM.8672.BT5011.152_quant,GC.RM.8672.BT5011.2_quant,GC.RM.8672.BT5011.3_quant,GC.RM.8672.BT5011.4_quant,GC.RM.8672.BT5011.5_quant,GC.RM.8672.BT5011.6_quant,GC.RM.8672.BT5011.7_quant,GC.RM.8672.BT5011.8_quant,GC.RM.8672.BT5011.9_quant
ENSRNOG00000037415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000037418,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089051,0,0,0,0.358215,0,0,0,0,0,0
ENSRNOG00000037421,1.008138,1.002669,0.296071,0.32142,1.036492,0.392443,1.456822,0.468658,1.687237,0.749559,0.849073,0.88294,0.643007,0.664752,0.411556,0.671084,0.449617,0.311294,1.12186,0.378289,0.424908,0.985352,1.097251,0.6457
ENSRNOG00000037428,0.700353,0.380681,0.30463,0.335694,0.500942,0.368389,0,0.606765,0.613008,0.522218,0.475867,0.616866,0.704129,0.433939,0.491788,0.661518,0.269079,0.229029,0.313633,0,0.359148,0.368101,0.459277,0.390743
ENSRNOG00000037430,8.055358,6.286908,4.860012,3.86491,4.193646,3.6249,0.408393,6.024418,7.240444,4.337493,6.070665,6.540358,6.81831,6.208259,6.330493,7.57566,2.758134,3.489735,3.77013,2.862615,3.274412,7.220317,3.056104,5.76208
ENSRNOG00000037432,2.8559,2.845201,2.236015,1.994499,3.543295,3.541747,0.474383,4.267483,3.310168,4.040075,4.007075,4.180821,3.192783,2.954278,3.934783,3.855755,1.376682,2.248128,3.591576,1.174124,2.274226,3.022578,3.536602,3.376583
ENSRNOG00000037435,0,0,0,0,0,0,0,0,0,0,0,0.078393,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000037436,0,0,0,0,0,0,0,0,0,0.049503,0,0,0,0,0,0.020891,0,0,0,0,0,0,0,0
ENSRNOG00000037437,3.337567,2.344354,1.822298,1.738446,0.90746,1.255047,0.385945,2.608632,2.849758,1.267631,2.409194,2.667413,2.732617,2.505314,1.473448,3.015758,1.016263,2.19244,0.88775,1.330922,1.073399,3.577857,1.822413,1.792789
ENSRNOG00000037443,5.447941,5.884294,6.515186,6.503186,3.826785,2.963104,2.163346,8.059631,3.900347,3.545269,5.569704,5.712274,7.301867,4.955305,3.839899,4.763704,3.328636,3.815775,3.21886,4.448737,3.050217,5.69488,5.945605,4.039823
ENSRNOG00000037446,344.358697,398.72766,335.928292,381.005231,411.106499,349.080133,141.809871,405.408384,413.204697,444.476451,405.347827,382.299648,404.119918,369.76721,398.413808,409.14598,356.222326,361.002235,359.241671,272.86915,382.364234,352.908102,351.109716,386.31409
ENSRNOG00000037449,1.20638,0.901285,0.341563,0.501215,0.664206,0.531442,0.274339,0.752281,0.937235,0.329781,0.314112,0.68156,0.587161,0.61295,0.599754,0.792999,0.288519,0.623041,0.393668,0.565879,0.387833,0.96167,0.391809,0.664474
ENSRNOG00000037452,0.629635,0.354029,0.450217,0.21218,0.942298,1.486869,0.896035,0.662671,1.307171,1.197008,0.458634,0.864924,1.345866,0.992474,1.533577,1.818261,0.527915,1.893458,0.447054,2.087213,0.961818,0.842486,0.606913,0.53846
ENSRNOG00000037456,0,0,0,0,0,0,0.414568,0.207247,0.103651,0,0.071611,0.141791,0.051239,0,0.158692,0,0,0,0,0,0.284624,0.117767,0,0
ENSRNOG00000037462,0.030968,0,0,0,0.012945,0,0,0.040258,0,0,0.015744,0.052165,0.011237,0.014338,0,0.014642,0,0,0,0,0,0.031965,0.035354,0.025902
ENSRNOG00000037466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000037467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000037476,0,0,0,0,0,0,0,0.065445,0,0,0.038996,0,0,0,0,0,0,0,0,0,0,0,0.117131,0
ENSRNOG00000037478,4.053241,3.930498,2.394676,2.78405,2.066348,2.739022,3.045622,6.339685,4.404905,3.205894,3.412524,3.561405,4.212311,3.241596,3.062532,4.375527,2.198426,4.194063,3.051826,1.369308,2.10691,3.306804,2.726519,3.121653
ENSRNOG00000037480,2.200063,2.110055,1.396679,0.714508,1.244208,1.200903,0,3.282947,1.813205,0.790023,1.66883,1.865001,3.288868,2.326487,0.751162,3.207285,0.805898,2.120289,0.924701,0.306925,0.453671,2.769806,0.838175,2.086895
ENSRNOG00000037481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486893,0,0,0,0,0
ENSRNOG00000037483,2.850153,2.129013,1.139934,1.164149,1.778696,1.60401,1.513079,2.782913,2.38578,1.947028,1.833462,2.237172,2.924781,1.890777,2.038931,2.371278,0.995732,1.907583,1.342697,0.98316,1.393014,3.155627,1.578611,1.876127
ENSRNOG00000037485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000037486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000037495,5.383393,0,2.936947,1.560174,0,0,0,9.879496,4.751086,0.470125,1.484632,1.050075,1.6515,1.406328,2.935251,2.449146,0.569401,1.619546,2.084816,0,0,2.53969,0,1.719486
ENSRNOG00000037500,7.706021,5.125841,4.810995,5.469469,3.52576,2.64348,0.435159,7.784404,5.514173,4.915143,7.03171,6.351521,7.66256,5.706117,5.960837,5.993445,4.437622,6.258932,3.344467,2.748937,4.216201,6.628882,3.668899,5.217999
ENSRNOG00000037505,13.951197,13.31334,9.058111,6.390759,11.945431,10.536178,5.049085,11.808005,11.343362,9.170795,13.183137,13.165435,13.142262,8.897956,9.545619,14.620555,5.015397,9.55203,7.141007,4.262186,5.811583,11.264741,8.258729,12.396226
ENSRNOG00000037506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000037508,4.597213,7.411402,6.678257,4.606591,9.04597,10.987191,6.635866,9.820995,10.371375,11.365071,9.079436,9.454008,9.323212,9.177258,7.626122,10.279819,10.460434,11.403924,9.107247,6.59828,9.231076,7.095452,7.997553,7.378569
ENSRNOG00000037509,0.980306,1.798656,0.626818,0.353179,1.797194,1.823633,0.331998,1.97008,1.633109,1.665783,1.85422,1.748852,1.383194,1.21748,1.705594,1.753568,0.40862,0.593924,0.82006,0.416108,0.248987,1.301325,1.026242,1.195348
ENSRNOG00000037514,1.357013,0.919559,0.791249,0.418506,0.605931,0.517252,0.409416,1.056556,1.565201,0.850994,0.993421,1.521288,1.351125,0.744829,0.917678,0.957193,0.316469,0.320698,0.645762,0.410891,0.406614,1.257591,0.865498,1.05795
ENSRNOG00000037518,60.124414,101.921809,84.709061,73.733882,70.724849,83.917907,37.42198,87.826591,73.759927,72.111573,99.071713,68.842623,104.295682,109.28008,96.853673,95.732848,100.574187,107.815666,73.900723,54.525834,76.513854,71.590638,88.240224,93.673343
ENSRNOG00000037522,0,0,0,0.423555,0.435348,0.392204,0,0.467127,0.448345,0,0,0.870137,0,1.12251,0.475979,0,0.454929,0.644893,0,0,0.631604,0,0,0
ENSRNOG00000037524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000037540,44.454902,51.749195,57.943164,52.297466,95.087501,105.385608,76.355615,68.386936,76.365137,76.055139,68.029146,57.531549,62.273969,63.279117,68.085914,67.553462,82.4624,80.386636,75.345704,80.871874,85.061791,47.396041,80.961716,59.880744
ENSRNOG00000037541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000037549,3914.303632,1268.635505,2758.363692,6619.737331,374.559337,3537.702492,297.398383,437.287602,3370.963578,862.845556,370.172738,738.201785,1105.902819,6922.015247,1442.859179,3548.384866,3076.293754,2372.248068,1036.299709,589.801169,313.35878,2705.55836,849.569717,2183.593
ENSRNOG00000037552,0,0.408955,0,0,0,0.863301,0,1.711477,0,0,0,0,0,0,0.346425,0,0.316425,0.891776,0,0,0,0.579452,0,1.348581
ENSRNOG00000037556,0.793566,0.329179,0.175997,0.327706,0.308423,0.389149,0.582652,0.595631,0.273452,0.314902,0.432475,0.665908,0.502456,0.246839,0.642508,0.549012,0.033278,0.460674,0.178464,0,0.158021,0.182972,0.284966,0.354415
ENSRNOG00000037562,2.370563,1.755086,1.691879,0.996416,0.675881,0.447998,0.458947,1.876519,1.705974,0.603735,1.248205,1.645803,2.133346,1.521524,1.527694,1.212928,0.301315,0.477018,0.458472,0,0.929554,2.112579,0.575815,1.929271
ENSRNOG00000037563,15.651111,13.775432,13.063113,15.375391,9.975103,13.204909,9.193142,12.442663,12.328631,17.091359,12.066138,17.978707,18.802268,10.180892,18.331612,13.619943,7.683678,19.643256,17.932659,9.49762,16.713821,17.089659,9.840392,23.870227
ENSRNOG00000037566,4.579927,2.36023,0,0,0,0,0,1.942831,9.346853,1.547136,2.397039,3.507151,1.902175,6.963609,5.88573,0,1.54713,6.696181,8.417106,0,0,13.943249,3.656869,0
ENSRNOG00000037567,22.685147,24.34205,15.354643,21.282424,17.573953,22.162263,5.282884,29.899209,33.103823,25.97321,22.892645,24.513756,22.364364,23.113027,21.141156,27.965551,23.514048,20.77877,18.826252,11.516732,20.259747,22.710672,24.216106,19.942718
ENSRNOG00000037580,95.744262,96.171325,81.002867,84.707389,57.750821,67.494082,29.860149,81.41159,108.189884,83.584013,83.754557,76.598289,77.893004,91.530009,81.255422,101.090964,66.335294,64.569201,61.545329,48.626274,64.083144,86.958511,93.997204,85.731994
