ID,700052000,700052001,700052002,700052003,700052004,700052005,700052006,700052007,700052008,700052009,700052070,700052071,700052072,700052073,700052074,700052075,700052076,700052077,700052078,700052079
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,"6,851,912","8,827,686","9,657,263","9,056,699","10,170,684","11,856,165","7,561,182","10,474,216","7,680,644","9,943,786","7,296,373","7,643,138","5,402,772","7,552,376","11,600,524","8,612,657","10,698,741","9,389,375","8,939,187","7,659,597"
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,"712,572","1,029,719","872,809","1,197,913","1,408,801","1,628,241","1,029,840","1,241,712","1,263,653","1,350,052","903,151","890,365","429,775","831,688","1,549,413","1,259,308","1,048,129","1,222,181","904,282","1,021,268"
1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),"601,865","777,936","641,935","991,418","1,069,537","1,121,670","517,803","754,697","689,003","898,883","661,627","356,014","185,368","617,930","1,075,539","673,425","534,150","662,168","649,589","660,496"
1-(1-enyl-stearoyl)-GPE (P-18:0)*,"2,246,559","2,444,264","2,674,060","2,353,263","2,571,406","3,081,506","2,423,146","3,205,621","1,830,592","3,192,095","2,370,938","1,706,996","1,604,641","2,562,907","2,958,338","2,946,827","3,217,643","3,037,098","2,171,718","2,206,815"
1-arachidonoyl-GPA (20:4),"5,864,041","4,095,859","6,001,252","5,310,108","5,307,881","3,983,330","3,896,380","9,191,004","2,853,241","6,938,486","4,042,890","4,112,758","3,359,679","3,638,633","4,605,432","4,553,972","5,725,062","4,985,015","5,018,675","4,134,901"
1-arachidonoyl-GPC (20:4n6)*,"212,821,712","267,002,944","242,630,560","209,444,448","193,223,552","191,845,264","215,237,984","214,115,424","166,730,336","264,382,848","214,750,016","310,382,688","228,234,736","200,248,192","226,244,544","199,416,176","231,832,128","237,473,456","240,798,304","243,982,208"
1-arachidonoyl-GPE (20:4n6)*,"2,979,760","3,009,595","2,770,772","3,155,455","2,148,816","1,773,204","2,745,308","2,406,433","2,539,020","3,379,208","3,101,131","2,654,158","678,195","2,497,230","2,504,555","2,619,830","2,447,822","3,403,395","2,603,650","2,687,472"
1-arachidonoyl-GPI (20:4)*,"48,716,240","63,659,952","54,803,536","52,032,564","47,354,000","39,693,256","43,507,908","51,465,724","40,264,864","60,300,932","52,693,660","88,594,088","17,761,744","41,532,548","46,064,344","50,877,604","49,064,876","72,169,816","52,723,172","39,524,464"
1-arachidonylglycerol (20:4),"3,594,905","4,909,019","2,709,708","1,815,669","2,387,937","2,019,796","1,796,802","5,212,199","1,586,717","5,532,562","3,148,439","6,594,750","996,892","1,920,015","2,847,945","5,102,724","1,948,090","4,612,429","4,672,442","3,544,047"
1-carboxyethylisoleucine,"222,286","269,572","259,646","314,076","173,877","327,855","253,200","229,469","280,832","248,268","285,951","532,518","522,028","286,730","519,478","397,393","195,376","315,301","235,890","284,212"
1-carboxyethylleucine,"371,933","578,417","500,785","621,455","306,502","635,776","565,656","469,996","484,601","543,396","553,726","941,366","1,014,096","544,099","930,071","645,133","415,213","586,229","506,212","572,373"
1-carboxyethylphenylalanine,"468,759","533,670","593,699","708,686","324,775","744,949","646,726","437,826","557,396","445,554","447,275","952,041","912,681","546,412","962,937","705,948","333,182","516,220","473,790","528,034"
1-carboxyethyltyrosine,"107,436","101,574","122,697","159,653","58,508","126,516","120,510","156,103","107,938","128,895","99,232","192,230","188,370","124,833","207,579","167,484","121,714","132,491","137,871","71,096"
1-carboxyethylvaline,"559,644","696,511","490,532","704,095","377,175","737,802","635,893","513,563","702,537","530,417","679,802","1,203,797","1,344,132","802,766","1,011,522","821,401","444,690","699,582","516,162","641,495"
1-docosahexaenoylglycerol (22:6),"1,199,507","1,446,385",,"379,214","295,800","377,846","295,552","717,782",,"1,081,305","1,449,534","2,106,021","183,086","670,688","638,523","1,394,708","344,205","835,239","1,099,513","929,875"
