category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,padjust
4964,1,0.846520947,0,15,1
4966,1,0.807866882,0,19,1
4973,1,0.770742704,0,24,1
4974,1,0.707438226,0,33,1
4975,1,0.746559843,0,27,1
4977,1,0.852649035,0,15,1
5010,1,0.244697155,0,127,1
5012,1,0.346143308,0,93,1
5014,1,0.674875573,0,35,1
5016,1,0.226382873,0,134,1
5020,1,0.719248354,0,30,1
5100,1,0.557213778,0,54,1
5140,1,0.589861154,0,47,1
5142,1,0.458762835,0,70,1
5143,1,0.810223063,0,19,1
5144,1,0.71467965,0,31,1
5146,1,0.506177777,0,64,1
5150,1,0.668574695,0,36,1
5210,1,0.565527268,0,52,1
5213,1,0.630325116,0,43,1
5216,1,0.757534523,0,25,1
5222,1,0.511611232,0,62,1
5223,1,0.626811367,0,43,1
5310,1,0.923267944,0,7,1
5320,1,0.769159219,0,23,1
5322,1,0.607671439,0,44,1
5330,1,0.769159219,0,23,1
5332,1,0.743238791,0,26,1
5410,1,0.695779383,0,33,1
5412,1,0.691645777,0,34,1
5416,1,0.584192058,0,49,1
