,GC-RM-8672-BT5011-1_quant,GC-RM-8672-BT5011-10_quant,GC-RM-8672-BT5011-11_quant,GC-RM-8672-BT5011-12_quant,GC-RM-8672-BT5011-141_quant,GC-RM-8672-BT5011-142_quant,GC-RM-8672-BT5011-143_quant,GC-RM-8672-BT5011-144_quant,GC-RM-8672-BT5011-145_quant,GC-RM-8672-BT5011-146_quant,GC-RM-8672-BT5011-147_quant,GC-RM-8672-BT5011-148_quant,GC-RM-8672-BT5011-149_quant,GC-RM-8672-BT5011-150_quant,GC-RM-8672-BT5011-151_quant,GC-RM-8672-BT5011-152_quant,GC-RM-8672-BT5011-2_quant,GC-RM-8672-BT5011-3_quant,GC-RM-8672-BT5011-4_quant,GC-RM-8672-BT5011-5_quant,GC-RM-8672-BT5011-6_quant,GC-RM-8672-BT5011-7_quant,GC-RM-8672-BT5011-8_quant,GC-RM-8672-BT5011-9_quant
ENSRNOG00000015967,87.06867191,98.93355777,117.6614699,147.8939386,173.8026804,154.7902629,256.0421754,108.6536343,109.4517129,101.1329685,128.7055132,104.3392084,107.210884,120.4012021,131.1650012,79.82144808,217.5474332,175.3736354,173.2621954,228.1834616,239.1580821,86.10291458,149.8700158,141.26231
ENSRNOG00000015969,123.6721715,133.2653085,150.323614,142.8929275,142.4909952,127.2559237,44.32124545,172.0177908,133.7142112,157.1005748,119.4174846,148.151049,149.4239074,163.559477,173.7187187,175.0929808,106.8878396,136.213122,120.2069579,198.7762147,100.1219269,113.8744356,179.7328555,126.5074079
ENSRNOG00000015970,129.9762983,130.6585852,103.8689389,59.32222864,47.89295295,39.82227602,0,98.64199013,97.59696926,65.20133766,142.3760009,110.4382688,125.3848964,107.3004264,76.34775428,101.1135775,52.62672205,52.73125268,49.41256941,30.38132992,56.47462828,115.0024368,94.81150921,86.09692069
ENSRNOG00000015971,155.5890654,99.99177411,162.3811188,222.751551,150.2845843,156.6869012,68.14750353,98.93983339,158.6467255,193.9212517,115.7943993,214.8057244,99.71052268,127.8079571,166.2983977,107.1185819,107.0997809,99.19740466,156.9436184,85.52395778,132.7021358,138.1430504,117.2208733,100.1579586
ENSRNOG00000015974,228.0240672,230.8902536,272.0999679,359.0459759,273.3574249,329.2268315,154.7847117,234.2741481,291.1484167,311.3049404,258.408173,192.1860112,205.3789558,321.9817309,259.8739421,323.6116457,425.1657313,352.59395,307.3620679,270.2404915,270.2962827,236.1385104,322.5177872,279.1149747
ENSRNOG00000015977,222.769859,147.8407264,137.489744,129.8065071,131.6024581,140.5635996,204.5297735,142.1314309,155.7461009,95.67391479,140.0334043,152.6384523,162.5588886,137.3809202,136.1112537,169.6329501,98.97365887,103.5481559,121.3666411,118.2020825,121.6424125,203.0730972,73.32238698,126.1558707
ENSRNOG00000015980,10.66665875,17.70837219,5.410483632,4.313117672,45.52021271,9.680870538,14.05414062,34.55365545,26.89697678,15.38167988,14.35353495,14.29008509,20.79863622,14.758759,21.6731778,32.44813958,6.886486738,25.86859855,14.95142217,4.04739991,5.038979081,12.32687821,9.588579339,7.405254722
ENSRNOG00000015983,252.1455564,211.4287258,270.3607896,239.5591692,195.732886,126.1626487,39.65052755,283.5794898,270.315345,286.2992076,244.3746793,248.1724481,191.8476536,264.2873277,237.5450228,226.6552996,204.5330291,139.9428087,234.6721479,184.674414,130.1309497,211.9824543,317.0273194,212.3678231
ENSRNOG00000015986,276.2675421,239.7252082,245.3799455,280.3323669,260.12933,204.1795882,188.335216,250.1330054,319.8322326,294.4511835,242.3841532,294.6015057,223.3153082,280.2695793,303.866489,254.3215898,136.4735835,140.8010601,239.3975605,199.3853528,204.4176551,311.2310019,239.813498,236.3580479
ENSRNOG00000015987,185.1520935,169.7085541,156.9535977,172.979427,115.8851118,160.5507346,236.8092576,170.4162274,153.2289888,157.6732088,155.0043831,152.9827233,175.9586343,132.8093573,151.6860714,134.3604445,123.6567425,101.7332559,120.3188709,169.4319476,168.1638209,171.4245738,133.6048271,175.4490915
ENSRNOG00000015989,151.2388823,158.8179047,222.389033,267.1757018,460.4551921,466.7899513,549.2598086,241.4846503,218.0677918,330.9551823,259.5943876,173.2727906,209.5999846,245.340304,230.7960019,235.0906986,480.0356715,365.1299449,382.6071564,490.2401019,457.002944,154.2698858,285.6864629,200.0284155
ENSRNOG00000015991,2.914165001,8.875565195,14.06942735,7.561113352,30.46177166,20.49700405,0,12.66848719,15.53055141,11.80928276,7.721843509,19.92151419,7.366748326,6.600190438,14.15842602,14.87788541,4.536269586,24.37726766,13.76369675,65.01631643,20.22211525,10.26177937,2.864634228,15.75376349
ENSRNOG00000015994,0,1.096905981,2.18120824,3.221804414,3.435630885,4.248430828,0,1.67391468,2.186326388,6.205256546,2.243411888,2.337488023,8.236791826,1.568645063,4.694914441,7.318804213,0,0,5.92465673,9.914507366,7.939928047,3.482235007,1.997829413,3.704784377
ENSRNOG00000015999,77.30138135,126.6709629,71.37766286,71.98949282,174.9571579,80.21377437,51.32408063,185.4616181,116.6318436,174.1876637,129.3648804,135.5647767,135.9526903,133.3904878,170.9150617,152.9964375,93.91859715,91.56125609,69.34255096,50.20479618,124.1692928,54.87721707,113.0383443,102.5043085
ENSRNOG00000016001,326.5796667,358.2853058,304.0393643,279.0968058,241.287251,276.1574817,117.0327365,346.9561889,293.2872506,289.1352884,328.0087192,332.9993749,336.3252067,358.5565479,283.4616608,306.5419029,267.3596504,284.6156064,224.4692338,236.4438059,173.1406354,302.7858168,338.9407082,314.5896992
ENSRNOG00000016010,220.5655689,237.4994609,213.2365422,245.2632508,203.9495757,241.7383265,258.2541151,245.8437193,178.585811,232.6583965,242.7003,228.7990205,244.4376795,175.1475253,219.0424874,201.8573243,222.0892828,199.478621,208.730085,130.0921315,206.3481366,192.2462038,227.2134134,226.1631726
ENSRNOG00000016011,34.02989455,18.88392768,2.164889827,9.730373856,8.216745955,18.36649897,0,19.44642835,28.90969327,18.20412255,15.43854833,23.15207004,35.46719576,11.15799964,14.17102533,28.86955064,7.894709095,17.30936585,3.436818342,14.25051154,5.063873995,14.36082637,7.624776011,20.39994145
ENSRNOG00000016012,16.00746381,12.55997849,29.03193464,15.57493559,13.19634037,16.64480779,43.49914173,26.32519166,12.66182703,17.73281521,13.67350326,19.44759065,15.16169953,17.25004484,10.69441714,9.563875051,10.67240666,13.3645682,24.9050033,45.92381393,8.545226333,9.894580847,7.919005486,11.33438946
ENSRNOG00000016015,96.25428581,91.08240515,49.79569214,59.46235009,98.58874694,112.3509382,187.9563442,108.219535,111.4315148,71.89666512,68.37888902,79.82505459,107.7579494,73.04852413,95.41687245,71.70231219,85.77288321,108.5513295,77.91787193,54.95889974,58.73520571,117.6368634,61.96911124,95.51023279
ENSRNOG00000016016,544.4000846,539.3412855,551.779935,789.5540617,541.5623232,674.3668235,743.9813245,494.9273121,419.616846,512.7586373,547.8765461,490.366737,406.961139,600.774723,461.2672759,500.6849233,846.9201166,605.1694038,567.8242864,573.4211997,674.9499739,463.8593759,544.8947975,488.4059986
ENSRNOG00000016021,192.8816165,206.5265354,243.1689064,207.5064421,214.6300164,164.1747829,144.821166,258.4167155,317.271357,229.6346786,302.7597651,222.3067113,219.5409058,304.2540884,222.8614756,289.3609894,290.1397499,219.0179939,204.5687788,128.8086866,225.3627027,223.6600351,192.1555733,263.8627282
ENSRNOG00000016023,349.9543715,580.0549133,492.8967968,400.9310315,782.4629739,659.8588033,352.4459629,543.2841262,513.4971338,617.752586,478.8733975,521.6280754,508.6525911,437.1388909,520.720201,606.9586086,534.0078887,587.6742344,483.3999437,601.9888953,493.6173286,468.5968829,434.3650573,432.023805
ENSRNOG00000016029,61.15978402,44.33873621,30.30382523,32.38484189,14.03925478,10.77625062,7.036129759,31.2249502,67.13958023,36.28173904,43.04038069,65.25082012,53.61905473,29.4771591,37.73352826,43.65522615,22.79078789,25.67008007,12.6313301,4.057419758,17.16774192,55.4405352,22.95659491,60.2128429
ENSRNOG00000016031,110.0665899,136.3486663,88.0137498,102.8688738,157.224288,125.1816446,201.9011701,120.7256377,114.3859133,138.9585064,120.0918566,193.823035,140.0031436,119.2355925,157.8178855,131.0748188,124.4617701,139.1039527,127.0681835,135.2903559,184.6565617,116.1896991,155.3163467,125.4339617
ENSRNOG00000016032,316.7323559,299.6140855,273.8486694,239.8405454,330.479753,303.2099152,218.3208182,262.7131651,314.1501242,268.9607019,319.9347695,308.465388,314.110295,333.576708,274.7246539,344.131553,304.9714769,280.8249974,279.8695444,278.4260926,259.9176412,283.2501851,212.9327406,309.5665328
ENSRNOG00000016033,39.53991299,62.62056184,58.38012376,95.44203312,57.70231954,58.64018647,53.53826894,63.63012258,59.17756469,61.69507424,73.02907963,45.53411699,54.60725311,51.22351029,54.36506864,61.55430121,57.0572877,98.90172606,90.38148704,143.9867401,55.88129559,62.47737463,55.29624076,39.65668346
ENSRNOG00000016034,270.9116447,207.3472179,231.6154687,268.8548378,273.8950235,257.6471051,429.3147476,241.4261465,226.0847013,233.2259125,227.3198551,190.2710934,218.4526163,236.7684862,190.5958533,223.0044384,215.0637544,214.3645325,242.2152298,142.0802366,208.1183982,208.7343984,179.7386415,207.5338303
ENSRNOG00000016036,43.3421354,17.55077698,12.96481076,17.13625416,16.12346348,19.15826006,0,32.60586265,27.81884984,16.95237033,23.23083634,26.63810243,32.36361108,27.15777942,30.89318667,21.09352284,13.131907,29.44127262,22.02651788,35.92010367,4.980105544,39.81303652,27.19160375,25.79627368
ENSRNOG00000016037,473.6196013,516.0337387,346.2071765,247.7106798,349.2931055,388.6389744,376.6093657,414.0528543,267.981553,525.2363135,334.7097459,446.6675104,511.7875836,358.2830674,454.6160186,284.0562093,326.11959,327.1774528,490.7505102,371.398606,335.8806292,235.7138201,378.7535017,244.1800402
ENSRNOG00000016038,177.3781598,173.3384137,170.6289141,207.9118179,367.2989635,314.8246383,393.071781,196.2337022,164.4727478,188.1330328,149.6842845,151.3363648,125.3209859,163.438178,144.4779146,169.2810017,637.784004,362.2100221,382.9591413,359.5618722,302.2553889,195.4619255,250.3566229,244.3505415
ENSRNOG00000016041,31.08139521,3.327749419,20.56486389,34.56172598,21.08177909,57.16237362,14.08060344,16.88890488,9.887250627,11.80501688,16.55036606,9.559147062,14.06833444,94.47036629,16.98858471,29.74847525,18.17260976,41.85724899,13.76961813,2.031025434,10.10823545,15.73835423,5.732697794,12.04671159
ENSRNOG00000016044,90.36199347,102.0996904,107.1591634,77.79113746,125.4118021,206.1181165,349.8086382,119.9619745,164.4730354,61.79706046,186.4396094,103.6327297,119.8772028,70.06079338,130.2899069,71.62430496,103.126476,47.55686018,71.10793043,73.17347582,125.4225393,164.8818968,142.2534727,122.3488885
ENSRNOG00000016047,645.8250042,586.0339636,397.4389308,339.0940386,654.2173317,630.7675001,724.8628509,798.3639873,711.450407,746.5342065,516.2855439,579.3196906,738.6116979,583.4039558,723.8557694,793.8848024,495.5411787,1006.098205,520.0507462,554.0898702,617.091334,743.168007,384.0366496,475.1610886
ENSRNOG00000016050,24.52833178,38.64935322,37.57322684,13.91702376,17.8896522,15.38558782,35.89214444,31.85477607,28.4633488,23.28051204,32.69471769,61.53232374,33.36810655,32.553437,48.8328769,14.20798143,3.509947971,11.98465846,28.1769883,14.47530711,3.089099742,36.75090733,41.10112179,37.93384674
ENSRNOG00000016054,681.1703856,579.0217551,474.4626144,363.2134638,284.5895785,242.7377699,170.812095,389.3769424,510.1212585,411.9258135,466.6881536,495.8833116,490.6149053,412.6561043,422.2600063,509.3600033,260.7922023,319.3814662,264.9034901,144.2633397,222.6211232,566.0615637,359.6522797,393.5876536
ENSRNOG00000016055,46.58103483,59.82781614,74.67327795,46.40145874,29.22625965,54.92646335,28.13285479,49.76937975,33.23282898,43.50343857,46.35823012,54.06992335,63.69364635,44.23525998,32.06227449,34.34607865,41.11819744,40.94002274,29.87101271,50.67736372,53.48758063,53.39665693,44.03469689,57.41995052
ENSRNOG00000016058,0,2.202035794,7.556262024,0,2.318334012,0,0,3.354735014,0,1.796756973,2.205750305,7.096402276,0.670928578,2.546440567,1.876514286,1.843223687,1.162492116,3.576791575,4.605670637,0,3.004466387,3.420830151,1.923316799,7.378480982
ENSRNOG00000016062,99.81515037,138.2273556,120.1009589,99.13863373,106.0731394,123.572414,142.7799385,112.844974,100.5961101,142.7605487,100.500988,167.2925431,106.066632,111.5396079,107.3575725,86.12808752,148.6611849,132.2694935,112.8101791,97.00258704,120.7957922,97.96011719,148.8266566,124.9106159
ENSRNOG00000016063,314.7369823,287.2169165,278.9908173,201.5942321,297.6696907,220.6089399,241.83687,235.1080505,285.3120918,173.5008601,276.2654303,251.526486,292.4763082,217.0729234,193.3203261,177.1039365,303.2657933,227.9778301,245.4320635,277.4516926,247.979773,261.7971662,310.3245425,248.0277394
ENSRNOG00000016064,2303.383616,2698.011622,3344.406451,3777.851527,1544.307765,1935.091609,2338.177949,1600.784591,2161.547856,1909.887597,2114.982356,1746.478195,1607.855636,2283.90071,2973.846663,1669.632057,2925.773178,1948.11203,2594.817013,3368.444205,1838.945836,2531.953885,2668.610189,3240.163548
ENSRNOG00000016066,13.53283017,30.8572628,33.52799724,18.27285505,33.62705173,36.38557206,53.67998207,57.09085728,31.27594964,50.32176547,49.7484562,30.76201321,38.3503055,43.42213697,28.18305058,30.43382337,29.27911804,33.64601862,30.03312483,62.30447683,51.10416671,30.17728016,28.96110446,26.78718699
ENSRNOG00000016067,140.0011561,142.1703872,127.7361283,89.73084058,97.40762813,84.25820866,91.62491385,109.9056517,162.9238397,149.2418681,133.4512118,157.2435,136.542604,118.2018578,143.5926447,123.8419124,83.53494946,131.6798869,151.2601018,77.34335677,118.4752081,160.0437634,147.7841958,145.5800689
ENSRNOG00000016069,4.413453488,4.157043197,4.086353202,2.636451267,2.184853323,0,0,3.959510945,5.653041733,3.385870194,6.270201552,3.853125528,2.54569704,7.484670852,19.20496579,2.608008901,3.348915801,0,0,0,0.944371033,9.958770598,0.914730864,8.234543039
ENSRNOG00000016071,38.75545266,29.84906473,59.50763627,45.24994502,38.45017648,35.4484861,88.92468003,74.93133677,42.51677527,62.31776008,51.91130987,48.34445346,55.0570462,60.62276621,80.03193475,49.0675242,57.693737,107.615453,37.99754412,56.56029098,95.59550553,44.53154978,53.79260456,66.61014121
ENSRNOG00000016085,37.86013811,28.8210446,32.46409353,19.43055336,50.31379477,45.26324222,0,64.98227211,37.44429847,38.10124657,54.06512061,86.74667541,35.51289662,45.21794751,53.76906025,25.08033429,22.7679381,12.82137532,49.36027169,22.31898741,20.19920969,51.32266406,39.20019305,36.12543177
ENSRNOG00000016087,130.1211096,154.1338052,108.2322357,103.6595246,163.8842337,142.3092213,236.9563642,166.3060299,179.4437326,151.5664271,109.2438781,150.4793955,148.7561098,146.3210017,135.876196,162.619602,69.39229971,149.0774897,97.56871486,146.154104,170.7519006,140.2937894,132.8789305,127.8594708
ENSRNOG00000016088,187.0406319,228.6458215,222.6328387,166.5120474,280.9551963,268.2417876,413.3631227,234.6051928,180.203431,153.6598622,205.5082855,232.0841359,202.2709176,274.758332,221.8389106,327.2625889,259.3257441,326.5353186,236.0335223,262.0025603,315.4434988,230.791328,203.046687,218.4770313
ENSRNOG00000016090,223.5262093,222.0238687,156.9553153,155.6172676,199.3467155,196.477916,152.6403923,186.7521086,215.2307857,159.1155521,200.7617773,220.1230409,197.5220569,153.2790569,152.9822463,212.1623477,155.034346,143.6099548,190.3253423,191.1590348,155.8308973,179.9131807,144.0922753,188.1858027
ENSRNOG00000016093,3.862340338,5.503467758,3.242257366,6.442269055,4.631157261,7.481150082,0,13.41749816,3.553670927,11.6635849,2.209928005,8.663359387,4.708261279,7.661380217,3.753728115,4.604952457,1.17350378,3.612856984,0,0,0,7.54073334,0,5.536934597
