ID,700052104,700052105,700052106,700052107,700052108,700052109,700052110,700052111,700052112,700052113,700052174,700052175,700052176,700052177,700052178,700052179,700052180,700052181,700052182,700052183
(12 or 13)-methylmyristate (a15:0 or i15:0),"247,423,824","112,238,704","225,131,568","87,432,744","71,324,072","271,385,472","44,075,488","130,250,368","306,078,560","138,308,224","162,806,416","140,488,304","31,120,096","33,697,672","210,094,416","184,515,216","129,035,112","112,358,856","98,892,688","55,678,024"
(16 or 17)-methylstearate (a19:0 or i19:0),"8,171,372","5,486,510","4,686,285","4,523,475","1,339,381","8,699,317","1,691,584","27,757,980","16,671,562","3,856,086","4,262,458","3,022,158","1,596,007","2,634,184","8,181,291","15,770,599","5,532,990","6,162,074","13,089,377","2,991,552"
(3'-5')-adenylyladenosine*,"105,224","219,667","150,859",,"83,077","410,110","396,279","184,831","173,625","91,756","116,336","470,388","252,495","118,281","41,794","115,180","51,128","291,485","194,141","140,643"
(3'-5')-adenylylcytidine,"38,321","133,783","58,475",,"36,559","155,441","233,053","55,518","42,948",,"80,422","268,109","147,241",,,,,"148,601","84,976","56,400"
(3'-5')-adenylylguanosine*,,"59,112","92,156",,,"160,770","120,068",,,"63,652",,"144,321","92,763",,,,,"118,304","60,127","60,296"
(3'-5')-adenylyluridine,"70,725","260,123","91,790",,"54,171","240,323","302,708","98,656","81,562","63,897","87,818","303,707","228,587","108,424",,"50,852",,"219,204","121,837","93,295"
(3'-5')-cytidylyladenosine,"53,786","97,011","230,774","28,280","155,402","348,557","115,352","130,795","110,699","184,647","161,187","299,259","181,347","119,589","147,175","73,189","222,139","218,539","103,454","232,197"
(3'-5')-cytidylylcytidine*,"95,059","152,775","370,290",,"200,684","389,659","211,408","134,519","157,673","229,000","260,109","456,818","220,173","223,866","126,326",,"174,671","274,521","98,435","304,196"
(3'-5')-cytidylyluridine*,"129,894","192,166","286,820","55,826","158,905","314,283","186,710","154,749","117,775","252,285","196,137","474,500","222,629","168,585","115,639","83,279","148,293","277,394","119,304","269,585"
(3'-5')-guanylylcytidine,,"131,802","75,806",,,"137,699","200,619","36,268","34,657","47,766","63,620","239,594","125,729","71,437",,"23,873",,"168,345","55,351","44,648"
(3'-5')-guanylyluridine,,"93,374","55,126",,,"101,853","87,242",,,,,"83,799","37,141",,,,,"108,199","48,153",
(3'-5')-uridylyladenosine,"37,934","50,948","78,704",,,"122,098","98,526","49,767","61,650","51,197","63,358","155,884","91,987","69,621","39,451","32,730","19,467","127,301","64,982","85,297"
(3'-5')-uridylylcytidine*,"86,020","97,039","144,994",,"106,075","257,394","206,063","113,389","86,669","105,086","121,267","347,055","127,438","106,468","86,442","58,452","55,488","199,680","109,072","143,122"
(3'-5')-uridylylguanosine,,"37,595","103,789",,"79,717","133,918","66,771","34,276","45,656","87,577","72,517","201,620","82,418","50,249","53,511",,"56,740","85,308","70,730","110,867"
