Cage,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14
1,20.7,34.0,31.3,27.3,23.3,26.0,28.0,27.3,29.3,29.3,28.7,28.7,30.7,30.0
2,26.0,32.7,35.3,28.7,23.3,26.7,25.3,28.0,23.3,30.0,26.7,25.3,30.0,30.0
3,20.7,29.3,24.7,27.3,23.3,24.7,24.7,23.3,22.0,25.3,26.0,24.0,26.7,25.3
4,22.7,26.0,25.3,26.7,19.3,23.3,24.7,23.3,23.3,20.7,29.3,22.7,26.7,24.7
29,21.3,26.7,26.7,20.0,20.7,22.7,22.7,16.7,19.3,20.7,23.3,23.3,20.0,25.3
30,30.0,30.7,28.0,28.7,18.0,21.3,25.3,23.3,16.7,22.7,26.7,26.0,24.0,27.3
31,29.3,28.7,24.0,18.0,20.7,23.3,24.0,17.3,19.3,27.3,24.7,23.3,24.0,27.3
32,26.0,35.3,30.0,24.7,26.7,30.0,27.3,23.3,22.7,29.3,27.3,27.3,26.7,29.3
